group,ring_min,ring_max,ring_label,intensity,use_construction,drop_unknown_controls,fe_spec,ref_year,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
all,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.301673253510439,0.09278857775236815,0.00143121570427382,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
all,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.24528790724458097,0.09299212104080726,0.009263585012628313,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
non_hs,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,treated_post,0.298849072882496,0.10282003077503984,0.004277880046481976,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
non_hs,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year,-4,construction_period,0.2941338647327075,0.0904289522328312,0.0014468031582365304,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
all,0,600,0-600m,FALSE,FALSE,TRUE,pixel_id + year^export_id,-4,treated_post,0.30667239142605857,0.13703686831126605,0.026763821567580174,85252293,16903685,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,FALSE,TRUE,pixel_id + year^export_id,-4,treated_post,0.29583554499074644,0.14236575526960374,0.0396180145316239,77836042,15400687,62435355,208834,716845,135,135,0.2913237868716389
all,0,600,0-600m,TRUE,FALSE,TRUE,pixel_id + year^export_id,-4,treated_post,0.30044481895986896,0.10900517177992353,0.0066036913366104835,74338080,16903237,57434843,223949,621557,145,145,0.3603032384801394
non_hs,0,600,0-600m,TRUE,FALSE,TRUE,pixel_id + year^export_id,-4,treated_post,0.292628068630271,0.11730235515944004,0.013823769357887613,68051526,15400239,52651287,208834,583727,135,135,0.3577597061640116
all,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^export_id,-4,treated_post,0.29057430555449737,0.12141107757234006,0.01798573465394038,88261256,19912648,68348608,223949,768741,145,145,0.2913191829237676
all,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^export_id,-4,construction_period,0.19018113072305903,0.09503953318271517,0.0472637594219967,88261256,19912648,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^export_id,-4,treated_post,0.25510106230835466,0.12497678501848906,0.043195272285947633,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
non_hs,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^export_id,-4,construction_period,0.22508834398649868,0.09418799867845,0.01825064502647512,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
all,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^export_id,-4,treated_post,0.26263464766087874,0.09354662311900694,0.005684911410816914,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
all,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^export_id,-4,construction_period,0.22015240416557008,0.09260208667803,0.01874891522278886,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
non_hs,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^export_id,-4,treated_post,0.2550303365870989,0.10253674736433982,0.01410284817883565,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
non_hs,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^export_id,-4,construction_period,0.2714100377949217,0.08890193168869169,0.0027338814381515667,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
all,0,600,0-600m,FALSE,FALSE,TRUE,pixel_id + year^month,-4,treated_post,0.31817947806718366,0.13905283403509372,0.023582135843958924,85252293,16903685,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,FALSE,TRUE,pixel_id + year^month,-4,treated_post,0.31050173752428123,0.144354932227396,0.03327336261550379,77836042,15400687,62435355,208834,716845,135,135,0.2913237868716389
all,0,600,0-600m,TRUE,FALSE,TRUE,pixel_id + year^month,-4,treated_post,0.32344982010023704,0.10922867825912687,0.0035851441822450005,74338080,16903237,57434843,223949,621557,145,145,0.3603032384801394
non_hs,0,600,0-600m,TRUE,FALSE,TRUE,pixel_id + year^month,-4,treated_post,0.31660488694779676,0.11918973986391693,0.008859247272110208,68051526,15400239,52651287,208834,583727,135,135,0.3577597061640116
all,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^month,-4,treated_post,0.30579559357865266,0.12420218302609036,0.014993728781055664,88261256,19912648,68348608,223949,768741,145,145,0.2913191829237676
all,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^month,-4,construction_period,0.20608892316950955,0.09747122552283712,0.03620776883640381,88261256,19912648,68348608,223949,768741,145,145,0.2913191829237676
non_hs,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^month,-4,treated_post,0.27423145227654055,0.1280413998819642,0.03402320991664407,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
non_hs,0,600,0-600m,FALSE,TRUE,TRUE,pixel_id + year^month,-4,construction_period,0.2423598963849166,0.09655343523031047,0.013259342760801604,80639416,18204061,62435355,208834,716845,135,135,0.2913237868716389
all,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^month,-4,treated_post,0.30073283138415,0.09259674347189249,0.0014473297757193527,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
all,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^month,-4,construction_period,0.24599072854719206,0.09298241865756997,0.009061678980512347,77346853,19912010,57434843,223949,621557,145,145,0.3603032384801394
non_hs,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^month,-4,treated_post,0.29777132894929587,0.10267950723615704,0.004362401453266674,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
non_hs,0,600,0-600m,TRUE,TRUE,TRUE,pixel_id + year^month,-4,construction_period,0.29477781926100916,0.09057933967435428,0.0014387668474306712,70854710,18203423,52651287,208834,583727,135,135,0.3577597061640116
all,0,600,0-600m,TRUE,TRUE,FALSE,pixel_id + year,-4,treated_post,0.2635823869014029,0.08559999539710865,0.002485930154284438,84708125,19912647,64795478,223949,719817,145,145,0.31111935394690593
all,0,600,0-600m,TRUE,TRUE,FALSE,pixel_id + year,-4,construction_period,0.19759571289997901,0.08498778732069759,0.021469788438071027,84708125,19912647,64795478,223949,719817,145,145,0.31111935394690593
