ring_min,ring_max,ring_label,intensity,use_construction,cluster_var,treat_scope,contam_scope,ref_year,fe_spec,term,estimate,se,p_value,n_obs,n_treat_obs,n_ctrl_obs,n_treat_px,n_ctrl_px,n_treat_dcs,n_ctrl_dcs,ratio_px
300,600,300-600m,TRUE,FALSE,export_id,hs_only,all,-4,pixel_id + year^month,treated_post,0.2812849597781598,0.19906165787103253,0.17679802889599264,23531610,4659620,18871990,20203,68904,17,17,0.29320503889469407
0,300,0-300m,TRUE,FALSE,export_id,hs_only,all,-4,pixel_id + year^month,treated_post,0.3348368092766916,0.38157488199274414,0.39319431454378995,20425322,1553332,18871990,6903,68904,17,17,0.1001828631138976
0,600,0-600m,TRUE,FALSE,export_id,hs_only,all,-4,pixel_id + year^month,treated_post,0.2913501428127043,0.22919506114986044,0.22183188305788681,25084942,6212952,18871990,27106,68904,17,17,0.39338790200859164
300,600,300-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^month,treated_post,0.3052840445154414,0.30030377880813786,0.32447812384922103,28169624,5030501,23139123,20203,91033,17,17,0.22193050871661923
300,600,300-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^month,construction_period,0.09941226907071828,0.20244666426076757,0.6300554388032924,28169624,5030501,23139123,20203,91033,17,17,0.22193050871661923
0,300,0-300m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^month,treated_post,0.3682725837656748,0.5684563849852992,0.5262721044502692,24815317,1676194,23139123,6903,91033,17,17,0.07582964419496227
0,300,0-300m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^month,construction_period,0.1605079902327403,0.27894009272318,0.5730109422376277,24815317,1676194,23139123,6903,91033,17,17,0.07582964419496227
0,600,0-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^month,treated_post,0.317110423504354,0.3391923105863706,0.36373699876218524,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
0,600,0-600m,FALSE,TRUE,export_id,NA,NA,-4,pixel_id + year^month,construction_period,0.11933947392663716,0.19092169668003917,0.540737923694761,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
300,600,300-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^month,treated_post,0.2794536938026469,0.19598081620019356,0.17310948580889945,23902484,5030494,18871990,20203,68904,17,17,0.29320503889469407
300,600,300-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^month,construction_period,0.11057256734042128,0.20820064935205476,0.6026539568107099,23902484,5030494,18871990,20203,68904,17,17,0.29320503889469407
0,300,0-300m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^month,treated_post,0.31666467818034416,0.3826948184341798,0.42014705445225764,20548184,1676194,18871990,6903,68904,17,17,0.1001828631138976
0,300,0-300m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^month,construction_period,0.1639889643825085,0.32377255096729957,0.6194176054276868,20548184,1676194,18871990,6903,68904,17,17,0.1001828631138976
0,600,0-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^month,treated_post,0.28422026680846285,0.2263543747554657,0.22727347579142057,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,TRUE,TRUE,export_id,hs_only,all,-4,pixel_id + year^month,construction_period,0.12559552477967528,0.21481796403361156,0.5669299559917562,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,FALSE,FALSE,campus_id,NA,NA,-4,pixel_id + year,treated_post,0.3103172237502471,0.36164070646876245,0.40529877866065644,29352082,6212959,23139123,27106,91033,17,17,0.29776015291158153
0,600,0-600m,TRUE,FALSE,campus_id,hs_only,all,-4,pixel_id + year,treated_post,0.2908440921818145,0.272962193234088,0.3046767692704318,25084942,6212952,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,FALSE,TRUE,campus_id,NA,NA,-4,pixel_id + year,treated_post,0.3177213029928969,0.3599737150360308,0.3923430409073473,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
0,600,0-600m,FALSE,TRUE,campus_id,NA,NA,-4,pixel_id + year,construction_period,0.11986495475692972,0.23661769170536753,0.6203360494670577,29845818,6706695,23139123,27106,91033,17,17,0.29776015291158153
0,600,0-600m,TRUE,TRUE,campus_id,hs_only,all,-4,pixel_id + year,treated_post,0.28363128211440525,0.2703073615888553,0.31182079258921125,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,TRUE,TRUE,campus_id,hs_only,all,-4,pixel_id + year,construction_period,0.12417790812429175,0.27171121770547324,0.6546664886714288,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,TRUE,TRUE,export_id,all,all,-4,pixel_id + year,treated_post,0.31370039781532444,0.21298608596909804,0.1601858086298443,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,TRUE,TRUE,export_id,all,all,-4,pixel_id + year,construction_period,0.13495255566452918,0.2182519577375973,0.5450578441703915,25578678,6706688,18871990,27106,68904,17,17,0.39338790200859164
0,600,0-600m,TRUE,TRUE,export_id,all,hs_only,-4,pixel_id + year,treated_post,0.3632278998292365,0.21737622003164922,0.11417002099269022,28147304,6706695,21440609,27106,80493,17,17,0.33674977948393026
0,600,0-600m,TRUE,TRUE,export_id,all,hs_only,-4,pixel_id + year,construction_period,0.1590022674471463,0.22221464145382383,0.484590730916889,28147304,6706695,21440609,27106,80493,17,17,0.33674977948393026
0,600,0-600m,TRUE,TRUE,export_id,hs_only,hs_only,-4,pixel_id + year,treated_post,0.334351088360991,0.23135250719215922,0.1677021937260684,28147304,6706695,21440609,27106,80493,17,17,0.33674977948393026
0,600,0-600m,TRUE,TRUE,export_id,hs_only,hs_only,-4,pixel_id + year,construction_period,0.1492124815242253,0.22106664257376357,0.5093343143204623,28147304,6706695,21440609,27106,80493,17,17,0.33674977948393026
